0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,,0.0,0.0,1e-45,6.867634e-27,0.0,0.0,1.3e-44,0.0,6.936734e-12,6.96e-43,1.3888242e-09,6.96e-43,1e-45,0.0,3e-45,0.0,1e-45,0.0,1.8072566e-09,6.96e-43,1e-45,6.96e-43,1.01e-43,0.0,1.3e-44,0.0,6.9367355e-12,6.96e-43,1.3888362e-09,6.96e-43
1.2225665e-10,6.96e-43,,,,,1.8072566e-09,6.96e-43,1e-45,6.96e-43,2.02e-43,0.0,1e-44,0.0,6.9367355e-12,6.96e-43,1.3888428e-09,6.96e-43,0.0,0.0,6e-45,0.0,3e-45,0.0,1.8072566e-09,6.96e-43,1e-45,6.96e-43,0.0,0.0,3.03e-43,0.0
8e-45,0.0,6.9367355e-12,6.96e-43,1.3888397e-09,6.96e-43,0.0,0.0,6e-45,0.0,3e-45,0.0,1.8072566e-09,6.96e-43,1e-45,6.96e-43,6.936732e-12,6.96e-43,6.9367337e-12,6.96e-43,6.9367337e-12,6.96e-43,6.936734e-12,6.96e-43,6.936734e-12,6.96e-43,4.15e-43,0.0,1.5e-44,0.0,6.936736e-12,6.96e-43
1.3888428e-09,6.96e-43,1e-45,0.0,6e-45,0.0,3e-45,0.0,1.8072566e-09,6.96e-43,1e-45,6.96e-43,6.9367355e-12,6.96e-43,5.72e-43,0.0,8e-45,0.0,6.936736e-12,6.96e-43,1.3888379e-09,6.96e-43,1.7767624e-09,6.96e-43,6e-45,0.0,3e-45,0.0,1.8072566e-09,6.96e-43,1e-45,0.0
6.936732e-12,6.96e-43,6.9367337e-12,6.96e-43,6.9367337e-12,6.96e-43,6.936734e-12,6.96e-43,6.936734e-12,6.96e-43,6.84e-43,0.0,1.5e-44,0.0,6.9367363e-12,6.96e-43,1.3888428e-09,6.96e-43,3e-45,0.0,6e-45,0.0,3e-45,0.0,1.8072566e-09,6.96e-43,1e-45,0.0,6.936736e-12,6.96e-43,8.41e-43,0.0
8e-45,0.0,6.9367363e-12,6.96e-43,1.3888379e-09,6.96e-43,0.0,0.0,6e-45,0.0,3e-45,0.0,1.8072566e-09,6.96e-43,1e-45,0.0,6.936732e-12,6.96e-43,6.9367337e-12,6.96e-43,6.9367337e-12,6.96e-43,6.936734e-12,6.96e-43,6.936734e-12,6.96e-43,9.53e-43,0.0,1.5e-44,0.0,6.9367368e-12,6.96e-43
1.3888428e-09,6.96e-43,4e-45,0.0,6e-45,0.0,3e-45,0.0,1.8072566e-09,6.96e-43,1e-45,6.96e-43,6.9367363e-12,6.96e-43,1.11e-42,0.0,8e-45,0.0,6.9367368e-12,6.96e-43,1.3888379e-09,6.96e-43,1.05132236e-10,6.96e-43,6e-45,0.0,3e-45,0.0,1.8072566e-09,6.96e-43,1e-45,6.96e-43
6.936732e-12,6.96e-43,6.9367337e-12,6.96e-43,6.9367337e-12,6.96e-43,6.936734e-12,6.96e-43,6.936734e-12,6.96e-43,1.222e-42,0.0,1.5e-44,0.0,6.936737e-12,6.96e-43,1.3888428e-09,6.96e-43,6e-45,0.0,6e-45,0.0,3e-45,0.0,1.8072566e-09,6.96e-43,1e-45,6.96e-43,6.9367368e-12,6.96e-43,1.379e-42,0.0
8e-45,0.0,6.936737e-12,6.96e-43,1.3888379e-09,6.96e-43,1.04725006e-10,6.96e-43,6e-45,0.0,3e-45,0.0,1.8072566e-09,6.96e-43,1e-45,0.0,6.936732e-12,6.96e-43,6.9367337e-12,6.96e-43,6.9367337e-12,6.96e-43,6.936734e-12,6.96e-43,6.936734e-12,6.96e-43,1.491e-42,0.0,1.5e-44,0.0,6.9367376e-12,6.96e-43
1.3888428e-09,6.96e-43,7e-45,0.0,6e-45,0.0,3e-45,0.0,1.8072566e-09,6.96e-43,1e-45,0.0,6.936737e-12,6.96e-43,1.648e-42,0.0,8e-45,0.0,6.9367376e-12,6.96e-43,1.3888379e-09,6.96e-43,3.79e-42,0.0,6e-45,0.0,3e-45,0.0,1.8072566e-09,6.96e-43,1e-45,0.0
6.936732e-12,6.96e-43,6.9367337e-12,6.96e-43,6.9367337e-12,6.96e-43,6.936734e-12,6.96e-43,6.936734e-12,6.96e-43,1.76e-42,0.0,1.5e-44,0.0,6.936738e-12,6.96e-43,1.3888428e-09,6.96e-43,8e-45,0.0,6e-45,0.0,3e-45,0.0,1.8072566e-09,6.96e-43,1e-45,0.0,6.9367376e-12,6.96e-43,1.917e-42,0.0
8e-45,0.0,6.936738e-12,6.96e-43,1.3888379e-09,6.96e-43,3.824e-42,0.0,6e-45,0.0,3e-45,0.0,1.8072566e-09,6.96e-43,1e-45,0.0,6.936732e-12,6.96e-43,6.9367337e-12,6.96e-43,6.9367337e-12,6.96e-43,6.936734e-12,6.96e-43,6.936734e-12,6.96e-43,2.029e-42,0.0,1.5e-44,0.0,6.9367385e-12,6.96e-43
1.3888428e-09,6.96e-43,1e-44,0.0,6e-45,0.0,3e-45,0.0,1.8072566e-09,6.96e-43,1e-45,0.0,6.936738e-12,6.96e-43,2.186e-42,0.0,8e-45,0.0,6.9367385e-12,6.96e-43,1.3888379e-09,6.96e-43,3.858e-42,0.0,6e-45,0.0,3e-45,0.0,1.8072566e-09,6.96e-43,1e-45,0.0
6.936732e-12,6.96e-43,6.9367337e-12,6.96e-43,6.9367337e-12,6.96e-43,6.936734e-12,6.96e-43,6.936734e-12,6.96e-43,2.298e-42,0.0,1.5e-44,0.0,6.936739e-12,6.96e-43,1.3888428e-09,6.96e-43,1.1e-44,0.0,6e-45,0.0,3e-45,0.0,1.8072566e-09,6.96e-43,1e-45,0.0,6.9367385e-12,6.96e-43,2.455e-42,0.0
8e-45,0.0,6.936739e-12,6.96e-43,1.3888379e-09,6.96e-43,3.897e-42,0.0,6e-45,0.0,3e-45,0.0,1.8072566e-09,6.96e-43,1e-45,0.0,6.936732e-12,6.96e-43,6.9367337e-12,6.96e-43,6.9367337e-12,6.96e-43,6.936734e-12,6.96e-43,6.936734e-12,6.96e-43,2.567e-42,0.0,1.5e-44,0.0,6.9367394e-12,6.96e-43
1.3888428e-09,6.96e-43,1.3e-44,0.0,6e-45,0.0,3e-45,0.0,1.8072566e-09,6.96e-43,1e-45,0.0,6.936739e-12,6.96e-43,2.724e-42,0.0,8e-45,0.0,6.9367394e-12,6.96e-43,1.3888379e-09,6.96e-43,3.933e-42,0.0,6e-45,0.0,3e-45,0.0,1.8072566e-09,6.96e-43,1e-45,0.0
6.936732e-12,6.96e-43,6.9367337e-12,6.96e-43,6.9367337e-12,6.96e-43,6.936734e-12,6.96e-43,6.936734e-12,6.96e-43,2.836e-42,0.0,1.5e-44,0.0,6.93674e-12,6.96e-43,1.3888428e-09,6.96e-43,1.4e-44,0.0,6e-45,0.0,3e-45,0.0,1.8072566e-09,6.96e-43,1e-45,0.0,6.9367394e-12,6.96e-43,2.993e-42,0.0
8e-45,0.0,6.93674e-12,6.96e-43,1.3888379e-09,6.96e-43,3.967e-42,0.0,6e-45,0.0,3e-45,0.0,1.8072566e-09,6.96e-43,1e-45,2.174322e-38,6.936732e-12,6.96e-43,6.9367337e-12,6.96e-43,6.9367337e-12,6.96e-43,6.936734e-12,6.96e-43,6.936734e-12,6.96e-43,3.105e-42,0.0,1.5e-44,0.0,6.9367402e-12,6.96e-43
1.3888428e-09,6.96e-43,1.5e-44,0.0,6e-45,0.0,3e-45,0.0,1.8072566e-09,6.96e-43,1e-45,2.1742673e-38,6.93674e-12,6.96e-43,3.262e-42,0.0,8e-45,0.0,6.9367402e-12,6.96e-43,1.3888379e-09,6.96e-43,2.790642e+29,2.028251e-19,6e-45,0.0,3e-45,0.0,1.8072566e-09,6.96e-43,1e-45,5.216486e-11
6.936732e-12,6.96e-43,6.9367337e-12,6.96e-43,6.9367337e-12,6.96e-43,6.936734e-12,6.96e-43,6.936734e-12,6.96e-43,3.374e-42,0.0,1.5e-44,0.0,6.9367407e-12,6.96e-43,1.3888428e-09,6.96e-43,1.7e-44,0.0,6e-45,0.0,3e-45,0.0,1.8072566e-09,6.96e-43,1e-45,8.88875e-15,6.9367402e-12,6.96e-43,3.531e-42,0.0
8e-45,0.0,6.9367407e-12,6.96e-43,1.3888379e-09,6.96e-43,6.6740775e+22,1.8615984e+25,6e-45,0.0,3e-45,0.0,1.8072566e-09,6.96e-43,1e-45,1.8887599e+31,6.936732e-12,6.96e-43,6.9367337e-12,6.96e-43,6.9367337e-12,6.96e-43,6.936734e-12,6.96e-43,6.936734e-12,6.96e-43,3.643e-42,0.0,1.5e-44,0.0,6.936741e-12,6.96e-43
1.3888428e-09,6.96e-43,1.8e-44,0.0,6e-45,0.0,3e-45,0.0,1.8072566e-09,6.96e-43,1e-45,7.369666e+28,6.9367407e-12,6.96e-43,3.8e-42,0.0,8e-45,0.0,6.936741e-12,6.96e-43,1.3888379e-09,6.96e-43,794614900.0,6.6129093e+19,6e-45,0.0,3e-45,0.0,1.8072566e-09,6.96e-43,1e-45,4.7363876e+30
6.936732e-12,6.96e-43,6.9367337e-12,6.96e-43,6.9367337e-12,6.96e-43,6.936734e-12,6.96e-43,6.936734e-12,6.96e-43,3.912e-42,0.0,1.5e-44,0.0,6.9367415e-12,6.96e-43,1.3888428e-09,6.96e-43,2e-44,0.0,6e-45,0.0,3e-45,0.0,1.8072566e-09,6.96e-43,1e-45,7.316175e+34,6.936741e-12,6.96e-43,4.07e-42,0.0
8e-45,0.0,6.9367415e-12,6.96e-43,1.3888379e-09,6.96e-43,4.4987046e+30,7.2128377e+22,6e-45,0.0,3e-45,0.0,1.8072566e-09,6.96e-43,1e-45,0.18566942,6.936732e-12,6.96e-43,6.9367337e-12,6.96e-43,6.9367337e-12,6.96e-43,6.936734e-12,6.96e-43,6.936734e-12,6.96e-43,4.181e-42,0.0,1.5e-44,0.0,6.936742e-12,6.96e-43
