0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.26837754,-0.1434417,-0.104948394,0.5078506,0.5808187,-0.7033596,-0.10283883,-0.84008354,-0.4229637,-0.02389742,0.013790391,0.6087615,0.48173216,1.4562335,-0.8989842,0.5810583
-0.025910512,-0.5329267,0.74705297,-0.5365598,-1.6243447,-1.0014474,-0.22914925,0.34735385,-1.1062315,0.41595653,-1.1291053,-1.0092117,-1.6731241,0.0913258,-0.27140877,0.88782096
0.9026746,-0.18288852,1.2728553,1.3630096,1.8415403,-0.26288584,0.8627922,0.042173825,-1.3676254,-0.33300704,-2.3516667,0.16732708,-1.937813,-0.5330277,2.051062,-1.33289
-1.4291387,1.5907838,0.62430954,-0.22876674,0.07362551,-0.45689988,1.0266498,0.2437621,-0.10598686,0.00973675,0.8905314,0.5364533,-0.27900252,-1.8992283,-0.5184574,-2.4123588
0.44174367,-1.972755,1.7686806,-1.2762727,1.0144881,-1.5327979,-0.79852474,-0.8107712,1.5361152,0.24150182,-0.5171526,-1.6589465,-1.0293244,0.14450367,-0.8237057,-1.4806006
0.12942693,-0.11417301,-0.58926296,0.51128423,0.31859198,-0.17664789,-0.062185347,0.44865307,-0.93237746,-0.7107497,1.4770747,0.9926347,0.083614245,-0.24008368,0.37494323,0.9337413
1.3630496,0.67924845,-0.8216082,-0.05288858,0.49424127,1.1380897,0.60340357,-0.32354096,-1.0569578,0.6111365,-0.06664973,0.9480983,-0.14706233,-0.5919023,0.6048466,0.6486396
-0.6740174,-0.2659824,0.025617294,0.20960437,-0.87479013,-3.063863,-2.827044,-0.37622097,-0.40005216,-0.17730577,-0.45935023,0.13324331,-0.07959176,0.34435308,0.18890521,0.29898578
-0.6046028,0.28955126,-0.37436026,0.43577456,-1.5003985,-1.6981915,-0.40846494,-0.07456841,0.087588,-0.101342216,-2.2154615,-0.0509377,-1.6803013,-0.069735534,1.4376144,-1.0827528
0.7960552,0.5430454,0.86423945,0.41136757,0.55470306,1.0550604,-0.38347697,-0.05021651,1.1593487,0.24906184,-1.3996295,0.32173106,1.2510647,-0.8922674,-0.45220664,1.208507
-1.6414194,0.9221537,0.25714594,-0.34553337,-0.7142938,-1.0032609,-0.9675609,1.0485193,-0.11651135,0.987431,0.77869785,0.44850698,-1.2858927,-0.038962908,-0.4780469,-0.42191908
-0.032477275,0.41925853,1.2047077,0.63175315,0.88581944,0.58284503,-0.23954932,0.33094698,0.6753407,0.08161646,-0.060390912,0.38964728,-0.7654198,-0.19649768,-0.07681867,0.60956204
-0.686127,1.3666178,0.27381724,1.8231447,-0.123179354,-0.30092916,0.75188965,0.3912411,-0.19849169,0.22840928,-0.6092619,1.6084572,-2.5641837,0.95617115,-0.21255726,0.7412373
-0.52265584,-1.8003855,1.2241585,0.6901239,0.4339337,0.2026227,0.6486754,-0.88057077,0.77819103,-0.14202352,-0.8683872,-0.43116015,0.7060521,-0.23472393,1.5204039,-0.17137596
1.3197948,-0.8589234,-0.9982034,-0.9604446,0.37236023,-0.4433033,-0.3514845,0.046255693,-0.6428524,-0.2549261,-0.74120176,-1.335756,1.7652718,0.62538093,-0.23838723,-1.6716406
-0.11290507,0.3911397,1.8494953,0.5187943,0.50496626,0.11508753,-0.18849294,0.71984565,0.53638184,-1.3808253,0.21533427,0.9769081,-0.2207274,0.037186246,-0.9133311,0.6537365
-0.8362687,-0.27505666,-0.10301776,-0.64972967,1.1102692,0.64226246,1.737961,0.48401594,-1.7382199,-0.52890074,-1.5513556,-0.08017456,-0.7279832,-0.42968312,0.7818555,0.33081436
1.1214056,-0.034481626,0.6994518,0.3499762,-0.39917782,0.7792076,-1.5168922,-0.48051375,-0.32780984,0.068180524,-0.47128594,-1.1205256,1.9077373,-0.42711866,1.9859439,0.07475939
1.5949607,-1.6171188,0.36526093,1.6112778,0.6110982,-0.570333,-0.5592646,0.3312152,0.23296909,-0.120627016,0.0316498,0.51687807,-0.013182273,0.8945294,0.49976036,-0.4103745
0.7710514,1.5122558,-0.10830367,0.07798202,0.2542405,-1.0978642,0.12786463,-0.15709478,0.22550371,1.3626112,-0.06653741,-0.14007926,0.82869387,0.6625456,-0.5061903,1.2267209
-2.1030035,-0.77636284,0.57120323,0.0030475375,-0.88034356,1.9595366,0.61074907,-0.85751593,-1.1534692,0.9194081,-1.4743248,-0.5708689,-0.8171833,-0.5323333,-0.8675736,1.1479208
1.2354114,-0.31351146,-0.23697919,0.74604535,-0.82375497,0.1116626,2.099614,0.5096203,0.83191866,1.3012184,0.6029282,0.122175634,-0.34031442,1.0110842,-1.3517426,-1.0744226
-0.7996846,0.13132839,-2.21477,0.59185475,-0.40452635,0.2916743,-1.1290822,0.0131561775,-0.47827226,-0.2120495,-0.59405845,-0.046915766,1.354341,0.76370156,-2.7753036,-0.69757766
-1.1387317,-0.5417475,-0.84313554,-1.2449718,0.79088277,-0.20536256,-0.30385545,1.3011891,-0.08005762,2.2528145,2.902488,0.5529773,-0.45879763,1.4869874,1.0398777,0.8776689
-1.6125321,0.40786195,0.074806266,0.39420107,-0.32064477,-0.94387674,0.12020008,-0.29055378,-0.32635906,0.12447038,1.0509375,1.3357292,0.31774187,-1.0915539,1.2875472,-0.57063323
0.5301788,-0.21860442,1.63951,-0.34271663,0.7077375,0.48902506,2.3030286,0.5383624,0.21896309,-0.23239551,-0.84155226,-0.3039466,0.85054404,0.589728,0.31265676,0.2581316
-0.9056801,1.3302675,0.66810757,0.08700993,-0.45471838,0.94430745,-1.9188224,0.60616744,-0.31271374,-0.9010937,1.1745502,0.52689993,0.08179917,-1.7395437,0.53681433,0.27267244
0.58767796,-0.06041543,0.38114858,0.14381318,0.7883375,0.5765197,0.17179297,-1.629094,1.1655862,-1.1518769,-0.0102737285,-0.8094521,-2.7134075,0.5041903,-0.59055233,0.057565093
1.6801318,1.3193018,-0.15902594,-0.016326305,-1.6009852,1.1600416,0.5664679,-0.617999,0.49718225,1.0995109,-0.43670374,1.0565938,-3.0316367,-1.5519216,1.7402555,-0.4590813
0.41442716,0.14199552,-0.7243567,-0.9413815,-0.315636,0.066657715,-0.8878702,-1.933355,-0.18428434,-0.004059723,-0.49538124,0.59311783,1.2927812,-1.22542,0.852642,-1.0345242
